cluster,node_name,cpu_cat,eff_class,count
0,0ad2c0c4,idle,inefficient,34437
0,2dbc131e,high,efficient,2
0,2dbc131e,high,moderate,4107
0,2dbc131e,low,inefficient,3099
0,2dbc131e,medium,inefficient,3268
0,2dbc131e,medium,moderate,2256
0,2dbc131e,very_high,efficient,2025
0,2dbc131e,very_high,moderate,3036
0,341872a6,high,efficient,1
0,341872a6,high,moderate,6023
0,341872a6,low,inefficient,5762
0,341872a6,medium,inefficient,3579
0,341872a6,medium,moderate,2011
0,341872a6,very_high,efficient,1918
0,341872a6,very_high,moderate,3434
0,41721e4b,idle,inefficient,34434
0,5180b174,high,moderate,6906
0,5180b174,low,inefficient,1903
0,5180b174,medium,inefficient,5972
0,5180b174,medium,moderate,840
0,5180b174,very_high,efficient,1513
0,5180b174,very_high,moderate,4588
0,5333662e,high,moderate,4267
0,5333662e,idle,inefficient,5
0,5333662e,low,inefficient,10207
0,5333662e,low,moderate,1
0,5333662e,medium,inefficient,3364
0,5333662e,medium,moderate,2685
0,5333662e,very_high,efficient,1684
0,5333662e,very_high,moderate,1783
0,5ede733f,idle,inefficient,34993
0,6fdf4d0d,idle,inefficient,22748
0,6fdf4d0d,low,inefficient,139
0,6fdf4d0d,low,moderate,3
0,6fdf4d0d,very_high,inefficient,2790
0,8674a4f2,high,inefficient,1
0,8674a4f2,high,moderate,5387
0,8674a4f2,low,inefficient,791
0,8674a4f2,medium,inefficient,2161
0,8674a4f2,medium,moderate,2929
0,8674a4f2,very_high,efficient,2948
0,8674a4f2,very_high,moderate,3172
0,8ccd7b3c,high,moderate,1766
0,8ccd7b3c,low,inefficient,153
0,8ccd7b3c,medium,inefficient,578
0,8ccd7b3c,medium,moderate,700
0,8ccd7b3c,very_high,efficient,3034
0,8ccd7b3c,very_high,moderate,1274
0,8d5a6c7e,idle,inefficient,20178
0,8d5a6c7e,low,inefficient,2
0,8d5a6c7e,low,moderate,2
0,8d5a6c7e,medium,moderate,1
0,a2ffa1e3,idle,inefficient,34992
0,b9c737a2,idle,inefficient,28184
0,b9c737a2,low,inefficient,132
0,b9c737a2,medium,moderate,3
0,b9c737a2,very_high,inefficient,7070
0,bce59923,idle,inefficient,17435
0,bce59923,low,inefficient,315
0,bce59923,medium,moderate,1
0,bce59923,very_high,inefficient,7071
0,bd55f82d,idle,inefficient,34993
0,c658b44f,idle,inefficient,31413
0,c658b44f,low,inefficient,456
0,c658b44f,low,moderate,2
0,e5886d85,high,moderate,5973
0,e5886d85,low,inefficient,1896
0,e5886d85,medium,inefficient,3288
0,e5886d85,medium,moderate,2487
0,e5886d85,very_high,efficient,1979
0,e5886d85,very_high,moderate,3505
0,eb5d8f42,idle,inefficient,8
