node,min,q1,median,q3,max,lower_whisker,upper_whisker,count
6764465,250.0,263.33,265.83,270.0,365.0,253.32499999999996,280.005,46917.0
06764465,255.0,263.33,265.0,267.5,357.5,257.07499999999993,273.755,8928.0
184b905d,260.0,270.0,275.83,282.5,885.83,260.0,301.25,55832.0
3a4828f5,230.0,254.17,260.83,268.33,852.5,232.93,289.57,55845.0
46362b76,257.5,267.5,278.33,335.0,652.5,257.5,436.25,55845.0
4985a7cf,210.0,215.0,220.0,234.17,454.17,210.0,262.92499999999995,55845.0
4d8b845e,260.0,275.0,280.0,285.83,606.67,260.0,302.07499999999993,55845.0
578d99bd,210.0,255.83,260.0,264.17,361.67,243.32,276.68,95581.0
6342c79e,253.33,260.83,262.5,265.0,880.83,254.57499999999996,271.255,21409.0
668c569c,216.67,260.83,262.5,265.83,386.67,253.32999999999998,273.33,21409.0
7c804642,144.17,217.5,220.0,227.5,786.67,202.5,242.5,55845.0
972da8ab,260.83,286.67,290.0,294.17,550.0,275.42,305.42,46018.0
a484c600,225.0,260.0,265.0,269.17,452.5,246.24499999999998,282.92500000000007,90130.0
a639d055,254.17,265.0,278.33,284.17,635.83,254.17,312.92500000000007,55845.0
a9e38583,255.0,277.5,284.17,293.33,635.0,255.0,317.07499999999993,55845.0
bb1bcaff,250.0,259.17,261.67,266.67,857.5,250.0,277.92,55845.0
c9900ab9,180.0,270.0,285.0,298.33,390.0,227.50500000000002,340.82499999999993,95685.0
d35334d1,253.33,262.5,274.17,417.5,817.5,253.33,650.0,54658.0
d8d6d1e0,263.33,285.83,290.0,295.83,746.67,270.83,310.83,55845.0
dda1bb77,250.0,275.0,315.83,330.83,574.17,250.0,414.57499999999993,55845.0
fb77ceef,218.33,261.67,264.17,267.5,320.0,252.92500000000004,276.245,55845.0
