node,min,q1,median,q3,max,lower_whisker,upper_whisker,count
0d4840c3,66.67,76.0,77.33,183.33,322.67,66.67,322.67,16542.0
21e01022,64.0,68.67,74.67,191.33,320.0,64.0,320.0,50978.0
2d2d0311,67.33,75.33,170.67,232.67,327.33,67.33,327.33,50981.0
3eb76848,64.0,147.33,217.33,277.33,315.33,64.0,315.33,50979.0
4a4cffb4,68.0,76.0,80.67,203.33,349.33,68.0,349.33,50980.0
54f5286d,68.0,76.67,214.0,304.67,331.33,68.0,331.33,34436.0
5c5e400b,66.0,72.0,74.0,77.33,310.0,66.0,85.32499999999999,50990.0
77d57e28,66.67,74.0,161.33,246.67,324.0,66.67,324.0,50982.0
79b5307d,64.0,76.0,186.67,262.0,301.33,64.0,301.33,50981.0
a2f271b4,67.33,74.0,76.0,80.0,326.67,67.33,89.0,50981.0
b654db47,68.0,72.67,74.67,79.33,306.0,68.0,89.32,50978.0
cfc400f1,67.33,154.0,229.33,308.0,337.33,67.33,337.33,50978.0
