node,min,q1,median,q3,max,lower_whisker,upper_whisker,count
0ad2c0c4,51.67,60.0,61.67,65.0,107.5,52.5,72.5,50446.0
2dbc131e,56.67,85.0,255.0,363.33,388.33,56.67,388.33,51010.0
341872a6,60.0,231.67,351.67,370.0,390.0,60.0,390.0,51010.0
41721e4b,50.0,60.0,61.67,66.67,111.67,50.0,76.67500000000001,50446.0
5180b174,51.67,113.33,370.0,370.0,401.67,51.67,401.67,51009.0
5333662e,50.0,86.67,230.0,355.0,386.67,50.0,386.67,55288.0
5ede733f,50.0,60.0,61.67,65.0,125.0,52.5,72.5,51010.0
6fdf4d0d,58.33,71.67,90.0,350.0,375.0,58.33,375.0,36905.0
8674a4f2,58.33,83.33,333.33,366.67,721.67,58.33,721.67,51009.0
8ccd7b3c,55.0,83.33,283.33,370.0,385.0,55.0,385.0,50447.0
8d5a6c7e,55.0,68.33,96.67,100.0,386.67,55.0,147.505,50448.0
a2ffa1e3,46.67,60.0,61.67,65.0,170.0,52.5,72.5,51010.0
b9c737a2,56.67,71.67,90.0,360.0,378.33,56.67,378.33,51010.0
bce59923,53.33,88.33,325.0,370.0,393.33,53.33,393.33,51009.0
bd55f82d,53.33,60.0,61.67,66.67,113.33,53.33,76.67500000000001,51009.0
c658b44f,48.33,65.0,83.33,336.67,376.67,48.33,376.67,51009.0
e5886d85,58.33,88.33,328.33,370.0,396.67,58.33,396.67,50448.0
eb5d8f42,50.0,60.0,61.67,65.0,150.0,52.5,72.5,36476.0
f006f6ea,58.33,83.33,230.0,348.33,383.33,58.33,383.33,51009.0
f301a5e3,51.67,76.67,85.0,90.0,125.0,56.675000000000004,109.995,16573.0
