node_name,0,1,2,3
0d4840c3,16338.0,0.0,235.0,0.0
21e01022,39938.0,6277.0,6034.0,5831.0
2d2d0311,30604.0,9181.0,4912.0,13386.0
3eb76848,18922.0,9220.0,15870.0,14069.0
4a4cffb4,37720.0,6427.0,4060.0,9875.0
54f5286d,14322.0,3409.0,14936.0,1769.0
5c5e400b,51247.0,874.0,0.0,5970.0
77d57e28,31744.0,7726.0,9512.0,9101.0
79b5307d,25649.0,6025.0,14121.0,12288.0
a2f271b4,52539.0,88.0,4695.0,760.0
b654db47,51018.0,516.0,0.0,6546.0
cfc400f1,18520.0,11595.0,15253.0,12712.0
TOTAL,388561.0,61338.0,89628.0,92307.0
PERCENTAGE,61.5,9.71,14.19,14.61
