node_name,0,1,2
6764465,35047.0,2235.0,11870.0
06764465,4133.0,286.0,4509.0
184b905d,39820.0,2248.0,16012.0
3a4828f5,33733.0,6205.0,18142.0
46362b76,43884.0,8952.0,5244.0
4985a7cf,29712.0,11837.0,16531.0
4d8b845e,39842.0,2235.0,16003.0
578d99bd,79570.0,4574.0,16011.0
6342c79e,18426.0,21409.0,18245.0
668c569c,18428.0,21409.0,18243.0
7c804642,32346.0,7614.0,18120.0
972da8ab,30010.0,3620.0,16008.0
a484c600,74121.0,4470.0,16009.0
a639d055,39750.0,2235.0,16095.0
a9e38583,34008.0,6781.0,17291.0
bb1bcaff,36184.0,4494.0,17402.0
c9900ab9,79680.0,4470.0,16005.0
d35334d1,19340.0,21636.0,15917.0
d8d6d1e0,39836.0,2235.0,16009.0
dda1bb77,14654.0,27505.0,15921.0
fb77ceef,39838.0,2235.0,16007.0
Total,782362.0,168685.0,321594.0
Percentage,61.48,13.25,25.27
