node_name,0,1,2
366801,29443,2235,1090
22655375,193720,15645,3627
49964896,535634,42467,11723
58512373,113018,6707,11347
98811351,268330,22351,4231
00366801,4696,4224,8
0049db0c,515144,29057,16010
0064a367,8849,44288,4943
0065ef1b,119526,6707,16001
05c5ef00,8293,45728,4059
0861be67,39843,2237,16000
111896c8,39834,2237,16009
1125a01c,39840,2237,16003
13a6f4c8,203837,11177,16002
1d247e53,278873,15647,16004
1e64c783,84201,72041,24813
22655375,10271,9099,2110
25fe225b,358560,20117,16003
28e8b849,39838,2237,16005
2eea5215,58078,1,1
2fded806,307650,17882,16001
366801,10207,6175,2
391ea34d,375610,17882,16003
3d7960e7,278866,15647,16005
417242bc,39970,2237,16000
43e593b3,311464,15647,16003
46de937b,44410,4825,8845
4786760b,39842,2237,16001
497660f4,58078,1,1
49964896,1869,4544,2416
51244a6f,119505,6707,16008
5433c3e6,12401,39831,5848
54c3811d,58077,1,2
58512373,10680,4658,669
5d7db037,270673,15647,16005
5e87c22e,278831,15647,16010
6a1acc69,263118,13412,16005
6bb5c698,199190,11177,16005
6d834fb8,31396,8447,18237
764b2e98,12647,41291,4142
788b0a71,39843,2237,16000
7c7d255d,39838,2237,16005
7da5db71,199185,11177,16006
7f4f3762,233689,13412,16001
82415d68,462988,24587,16003
85c6cd05,517933,29057,16002
85ebbabd,316011,17882,16005
8621bb59,39834,2237,16009
88b02143,61295,1,2
8bab4dff,315999,17882,16007
8d2843f5,484949,26822,16003
98811351,9140,14774,2630
a22bdd7c,79676,4472,16005
a26788f6,287269,13412,16007
a4ec376f,36283,8607,13190
a57bfdd7,41147,1,16932
b1b36b26,4791,35045,18244
b6002837,367668,20117,16009
b88cae4d,39841,2237,16002
bb37a269,439652,24587,16003
cbf4a974,10156,40567,7357
ce52f982,119508,6707,16007
d424b38d,280111,15647,16004
d7ea95c2,58078,1,1
de50c1fe,242050,13412,16000
e2b6ed0e,114617,84568,27183
e41df102,191022,11177,16000
e4362c19,902834,35798,23196
e998d442,39841,2237,16002
ea7f6999,39843,2237,16000
fd5a1b56,119523,6707,16002
