node_name,count,mean,std,min,25%,50%,75%,max
366801,30533.0,408.8009871286804,4.087222676383124,398.33,405.83,410.0,411.67,484.17
22655375,197347.0,411.3664188966642,11.186510048954052,288.33,401.67,408.33,420.0,531.67
49964896,547357.0,428.7566028752715,10.72780545237644,407.5,418.33,429.17,438.33,535.0
58512373,124365.0,411.4362724239135,4.08500860767295,403.33,409.17,410.83,415.0,436.67
98811351,272561.0,416.1470375805783,6.372313909506361,404.17,410.0,416.67,420.0,474.17
00366801,8928.0,402.9929928315412,2.202263401596656,396.67,401.67,402.5,404.17,426.67
0049db0c,531154.0,419.59916270987327,10.649747948275415,408.33,412.5,415.0,420.83,493.33
0064a367,55843.0,510.5257251580324,136.5092577884204,406.67,428.33,430.83,556.67,887.5
0065ef1b,135527.0,412.02638315612387,5.825573750211867,342.5,407.5,410.0,415.83,525.0
05c5ef00,55843.0,499.92434360618165,146.67673290237175,405.83,415.0,420.0,491.67,851.67
0861be67,55843.0,420.8249232670164,60.395818577770086,395.0,400.0,402.5,419.17,795.0
111896c8,55843.0,413.5891144816718,3.675827629099798,350.0,410.0,412.5,415.83,425.83
1125a01c,55843.0,424.31989166054825,60.161357453692446,400.0,405.0,405.83,415.0,838.33
13a6f4c8,219839.0,420.23481143018296,7.002895594786294,409.17,415.0,417.5,425.83,493.33
1d247e53,294877.0,435.31227613547344,55.683115928488206,405.0,410.0,410.83,417.5,624.17
1e64c783,172113.0,478.6744009458901,75.57021856981402,394.17,405.0,465.0,525.0,687.5
22655375,21478.0,403.4237764223857,2.0466567756857135,336.67,402.5,403.33,405.0,422.5
25fe225b,374563.0,420.1882989510443,5.182258572167624,409.17,416.67,419.17,423.33,514.17
28e8b849,55843.0,416.78764607918635,4.3737751229666255,347.5,415.0,415.0,420.0,511.67
2eea5215,55843.0,475.5228803968269,138.0158544703477,342.5,410.0,411.67,420.0,810.83
2fded806,323651.0,400.08286209528166,4.72582170128953,390.0,395.83,399.17,404.17,493.33
366801,16382.0,402.52557868392137,2.548069230107649,396.67,400.83,401.67,404.17,415.83
391ea34d,391613.0,405.7233716449657,5.334055303245937,270.83,400.83,405.0,410.0,505.83
3d7960e7,294871.0,423.8686192267127,4.605584911614035,413.33,420.0,423.33,427.5,520.83
417242bc,55970.0,398.7863442915848,4.864126208680671,391.67,395.0,395.83,400.83,518.33
43e593b3,327467.0,434.1406125502721,53.03979790908454,395.0,408.33,425.0,425.83,685.83
46de937b,55627.0,505.276767756665,158.08223627917795,405.0,410.0,411.67,560.83,837.5
4786760b,55843.0,421.0810694267858,66.75819984408685,394.17,399.17,400.0,409.17,795.83
497660f4,55736.0,566.124466951342,167.33453513343218,356.67,421.67,433.33,784.17,855.0
49964896,8829.0,421.9445599728169,7.130783502481117,410.83,415.0,420.0,428.33,454.17
51244a6f,135513.0,417.81944905654797,3.6426143917979625,347.5,415.0,416.67,420.0,512.5
5433c3e6,55843.0,537.5522781727343,153.74570058494334,336.67,405.0,460.0,720.83,858.33
54c3811d,54792.0,423.4254270696452,57.49148945369643,403.33,410.0,410.0,415.0,848.33
58512373,16007.0,407.97873930155555,2.666012968931659,403.33,405.0,407.5,410.0,429.17
5d7db037,286678.0,412.93333848429245,4.780181374540647,348.33,410.0,411.67,416.67,517.5
5e87c22e,294841.0,406.31616589958657,5.75779952857033,397.5,400.83,405.0,411.67,500.83
6a1acc69,279123.0,410.10856547113633,4.949871552167298,338.33,405.83,410.0,414.17,504.17
6bb5c698,215195.0,408.985347522015,7.57179750116806,340.83,405.0,407.5,410.83,552.5
6d834fb8,55843.0,491.85143043890906,153.78829737754492,400.0,405.0,406.67,473.33,824.17
764b2e98,55843.0,538.9810149884497,162.74886301385527,341.67,410.83,433.33,731.67,860.0
788b0a71,55843.0,417.06518346077394,17.979967633198136,341.67,406.67,410.83,420.0,630.83
7c7d255d,55843.0,411.31102430027045,4.847827122987112,404.17,407.5,410.0,415.0,510.0
7da5db71,215191.0,419.728858688328,27.065634648303536,355.0,405.0,421.67,425.0,651.67
7f4f3762,249690.0,399.914758100044,3.5587580611586134,337.5,396.67,400.0,402.5,496.67
82415d68,478991.0,426.13573250854404,7.150780653940619,350.83,420.83,423.33,430.83,447.5
85c6cd05,533935.0,438.90009551724455,21.891372051374912,342.5,412.5,438.33,460.83,575.0
85ebbabd,332016.0,435.4444549359066,55.974323855742945,395.0,400.0,426.67,441.67,679.17
8621bb59,55843.0,418.3666910803502,4.4711343212259065,409.17,415.0,416.67,420.83,476.67
88b02143,58605.0,484.2214696698234,135.71730305488884,410.0,415.0,418.33,432.5,880.0
8bab4dff,332006.0,414.6131707860701,31.845188994571924,391.67,402.5,405.83,419.17,671.67
8d2843f5,500952.0,450.8068573436179,20.95324958359967,404.17,435.83,456.67,468.33,555.83
98811351,26543.0,412.0839125193083,5.861615667472249,403.33,410.0,410.0,410.83,447.5
a22bdd7c,95681.0,404.70575840553505,4.768097206852042,336.67,400.83,403.33,409.17,479.17
a26788f6,303276.0,403.3488710943168,4.743794454792689,329.17,400.0,403.33,405.83,505.0
a4ec376f,55537.0,488.64437384086284,125.66057080309348,415.0,420.0,425.83,471.67,834.17
a57bfdd7,55782.0,431.17292173102436,65.31686143641468,398.33,407.5,410.0,420.0,852.5
b1b36b26,55843.0,436.7934906792257,98.5722752641339,395.83,402.5,405.0,413.33,855.0
b6002837,383677.0,413.93116170633107,8.523860906384396,344.17,406.67,410.0,422.5,510.0
b88cae4d,55843.0,407.67553927976644,9.037932487942527,393.33,400.0,404.17,414.17,472.5
bb37a269,455655.0,416.32816424707283,4.703523543358567,340.83,413.33,415.0,420.0,529.17
cbf4a974,55843.0,536.3165694894615,156.43467116285228,401.67,408.33,442.5,756.25,825.0
ce52f982,135515.0,404.4463266059107,5.141086695733882,395.83,400.83,404.17,407.5,497.5
d424b38d,296115.0,406.16344741063443,4.7502146764464115,395.83,402.5,405.0,410.0,465.0
d7ea95c2,55186.0,437.15017540680606,85.85345108927491,405.0,410.0,412.5,420.83,796.67
de50c1fe,258050.0,412.3926983917845,4.782291165860227,340.83,409.17,410.0,415.83,484.17
e2b6ed0e,215191.0,514.8298701618562,81.12236389269613,403.33,437.5,530.0,565.0,715.0
e41df102,207022.0,415.2785206886225,4.216525725430013,406.67,411.67,415.0,419.17,514.17
e4362c19,926030.0,433.4622141831259,9.564386160822206,295.83,426.67,432.5,440.0,509.17
e998d442,55843.0,411.3377776981896,7.973821158936433,270.0,405.0,407.5,415.83,503.33
ea7f6999,55843.0,411.1981154307612,4.009935179674476,341.67,409.17,410.0,413.33,510.0
fd5a1b56,135525.0,425.2307867183177,4.506867704025018,415.0,421.67,424.17,428.33,505.83
