,cluster,node_name,cpu_cat,eff_class,count,node_count,percentage
0,0,0d4840c3,idle, extremely inefficient,3440,10617,32.400866534802674
1,0,0d4840c3,idle,efficient,1,10617,0.00941885655081473
2,0,0d4840c3,idle,inefficient,4747,10617,44.71131204671753
3,0,0d4840c3,idle,slightly inefficient,2367,10617,22.294433455778467
4,0,0d4840c3,low,efficient,35,10617,0.3296599792785156
5,0,0d4840c3,low,slightly inefficient,27,10617,0.2543091268719977
6,0,21e01022,idle, extremely inefficient,210,32539,0.6453793908847845
7,0,21e01022,idle,efficient,65,32539,0.1997602876548142
8,0,21e01022,idle,inefficient,21099,32539,64.8421893727527
9,0,21e01022,idle,slightly inefficient,10276,32539,31.580564860628783
10,0,21e01022,low,efficient,798,32539,2.452441685362181
11,0,21e01022,low,slightly inefficient,76,32539,0.23356587479639815
12,0,21e01022,medium,efficient,15,32539,0.04609852792034175
13,0,2d2d0311,high,efficient,4651,21728,21.405559646539025
14,0,2d2d0311,idle,slightly inefficient,1,21728,0.004602356406480118
15,0,2d2d0311,low,efficient,4659,21728,21.442378497790866
16,0,2d2d0311,low,slightly inefficient,62,21728,0.2853460972017673
17,0,2d2d0311,medium,efficient,10199,21728,46.93943298969072
18,0,2d2d0311,very_high,efficient,2156,21728,9.922680412371134
19,0,3eb76848,high,efficient,7009,22728,30.838613164378742
20,0,3eb76848,idle,slightly inefficient,7,22728,0.030799014431538194
21,0,3eb76848,low,efficient,6039,22728,26.570749736008448
22,0,3eb76848,low,slightly inefficient,302,22728,1.3287574797606476
23,0,3eb76848,medium,efficient,8169,22728,35.94244984160507
24,0,3eb76848,very_high,efficient,1202,22728,5.288630763815558
25,0,4a4cffb4,high,efficient,3185,15954,19.96364548075718
26,0,4a4cffb4,idle,slightly inefficient,4,15954,0.025072082236429732
27,0,4a4cffb4,low,efficient,1910,15954,11.971919267895197
28,0,4a4cffb4,low,slightly inefficient,110,15954,0.6894822615018177
29,0,4a4cffb4,medium,efficient,8854,15954,55.497054030337225
30,0,4a4cffb4,very_high,efficient,1891,15954,11.852826877272157
31,0,54f5286d,high,efficient,6116,14759,41.43912189172708
32,0,54f5286d,low,efficient,384,14759,2.6018022901280577
33,0,54f5286d,medium,efficient,3702,14759,25.083000203265804
34,0,54f5286d,very_high,efficient,4557,14759,30.876075614879056
35,0,5c5e400b,idle, extremely inefficient,407,28806,1.412900090258974
36,0,5c5e400b,idle,efficient,5,28806,0.01735749496632646
37,0,5c5e400b,idle,inefficient,13168,28806,45.71269874331737
38,0,5c5e400b,idle,slightly inefficient,14780,28806,51.308755120461015
39,0,5c5e400b,low,efficient,423,28806,1.4684440741512186
40,0,5c5e400b,low,slightly inefficient,20,28806,0.06942997986530584
41,0,5c5e400b,medium,efficient,3,28806,0.010414496979795875
42,0,77d57e28,high,efficient,5048,16311,30.948439703267734
43,0,77d57e28,low,efficient,2457,16311,15.063454110722827
44,0,77d57e28,low,slightly inefficient,12,16311,0.07356998344675372
45,0,77d57e28,medium,efficient,7376,16311,45.22101649193795
46,0,77d57e28,very_high,efficient,1418,16311,8.693519710624733
47,0,79b5307d,high,efficient,1,18987,0.005266761468373097
48,0,79b5307d,idle, extremely inefficient,64,18987,0.3370727339758782
49,0,79b5307d,idle,efficient,10,18987,0.052667614683730976
50,0,79b5307d,idle,inefficient,7410,18987,39.02670248064465
51,0,79b5307d,idle,slightly inefficient,10612,18987,55.890872702375304
52,0,79b5307d,low,efficient,664,18987,3.4971296149997366
53,0,79b5307d,low,slightly inefficient,211,18987,1.1112866698267234
54,0,79b5307d,medium,efficient,15,18987,0.07900142202559646
55,0,a2f271b4,idle, extremely inefficient,369,45446,0.8119526470976545
56,0,a2f271b4,idle,efficient,5,45446,0.011002068388857105
57,0,a2f271b4,idle,inefficient,18303,45446,40.27417154425032
58,0,a2f271b4,idle,slightly inefficient,26580,45446,58.48699555516437
59,0,a2f271b4,low,efficient,125,45446,0.2750517097214276
60,0,a2f271b4,low,slightly inefficient,58,45446,0.12762399331074242
61,0,a2f271b4,medium,efficient,6,45446,0.013202482066628527
62,0,b654db47,idle, extremely inefficient,63,28780,0.2189020152883947
63,0,b654db47,idle,inefficient,13016,28780,45.22585128561501
64,0,b654db47,idle,slightly inefficient,15570,28780,54.10006949270326
65,0,b654db47,low,efficient,95,28780,0.330090340514246
66,0,b654db47,low,slightly inefficient,36,28780,0.12508686587908271
67,0,cfc400f1,high,efficient,6131,22404,27.36564899125156
68,0,cfc400f1,low,efficient,4655,22404,20.7775397250491
69,0,cfc400f1,low,slightly inefficient,60,22404,0.2678093197643278
70,0,cfc400f1,medium,efficient,9423,22404,42.05945366898768
71,0,cfc400f1,very_high,efficient,2135,22404,9.52954829494733
72,1,0d4840c3,high,efficient,3,4753,0.06311803071744161
73,1,0d4840c3,idle,slightly inefficient,4,4753,0.08415737428992215
74,1,0d4840c3,low,efficient,3172,4753,66.73679781190826
75,1,0d4840c3,low,slightly inefficient,75,4753,1.5779507679360403
76,1,0d4840c3,medium,efficient,1499,4753,31.537976015148327
77,1,21e01022,extreme,efficient,6,7920,0.07575757575757576
78,1,21e01022,high,efficient,3083,7920,38.926767676767675
79,1,21e01022,medium,efficient,575,7920,7.2601010101010095
80,1,21e01022,very_high,efficient,4256,7920,53.73737373737374
81,1,2d2d0311,idle, extremely inefficient,67,24236,0.276448258788579
82,1,2d2d0311,idle,efficient,4,24236,0.01650437365901964
83,1,2d2d0311,idle,inefficient,7613,24236,31.41194916652913
84,1,2d2d0311,idle,slightly inefficient,15690,24236,64.73840567750455
85,1,2d2d0311,low,efficient,773,24236,3.1894702096055454
86,1,2d2d0311,low,slightly inefficient,87,24236,0.35897012708367715
87,1,2d2d0311,medium,efficient,2,24236,0.00825218682950982
88,1,3eb76848,idle, extremely inefficient,10,12347,0.08099133392726979
89,1,3eb76848,idle,efficient,3,12347,0.024297400178180936
90,1,3eb76848,idle,inefficient,5936,12347,48.07645581922734
91,1,3eb76848,idle,slightly inefficient,5793,12347,46.918279744067384
92,1,3eb76848,low,efficient,370,12347,2.996679355308982
93,1,3eb76848,low,slightly inefficient,230,12347,1.8628006803272048
94,1,3eb76848,medium,efficient,5,12347,0.040495666963634894
95,1,4a4cffb4,idle, extremely inefficient,17,30961,0.05490778721617519
96,1,4a4cffb4,idle,efficient,24,30961,0.07751687606989438
97,1,4a4cffb4,idle,inefficient,10337,30961,33.38716449727076
98,1,4a4cffb4,idle,slightly inefficient,19891,30961,64.24534091276122
99,1,4a4cffb4,low,efficient,476,30961,1.537418042052905
100,1,4a4cffb4,low,slightly inefficient,213,30961,0.6879622751203127
101,1,4a4cffb4,medium,efficient,3,30961,0.009689609508736798
102,1,54f5286d,idle,efficient,2,14778,0.013533631073216944
103,1,54f5286d,idle,inefficient,5388,14778,36.45960211124645
104,1,54f5286d,idle,slightly inefficient,8689,14778,58.796860197591016
105,1,54f5286d,low,efficient,475,14778,3.214237379889024
106,1,54f5286d,low,slightly inefficient,209,14778,1.4142644471511705
107,1,54f5286d,medium,efficient,15,14778,0.10150223304912709
108,1,5c5e400b,high,efficient,556,6484,8.574953732264035
109,1,5c5e400b,idle,slightly inefficient,1,6484,0.015422578655151141
110,1,5c5e400b,low,efficient,3156,6484,48.673658235657
111,1,5c5e400b,low,slightly inefficient,4,6484,0.061690314620604564
112,1,5c5e400b,medium,efficient,2670,6484,41.17828500925354
113,1,5c5e400b,very_high,efficient,97,6484,1.4959901295496607
114,1,77d57e28,idle, extremely inefficient,28,25139,0.11138072317912408
115,1,77d57e28,idle,efficient,5,25139,0.019889414853415013
116,1,77d57e28,idle,inefficient,15238,25139,60.6149807072676
117,1,77d57e28,idle,slightly inefficient,8937,25139,35.55034010899399
118,1,77d57e28,low,efficient,754,25139,2.999323759894984
119,1,77d57e28,low,slightly inefficient,169,25139,0.6722622220454274
120,1,77d57e28,medium,efficient,8,25139,0.031823063765464024
121,1,79b5307d,high,efficient,3976,17801,22.335823830121903
122,1,79b5307d,idle,slightly inefficient,3,17801,0.016852985787315318
123,1,79b5307d,low,efficient,5141,17801,28.880399977529354
124,1,79b5307d,low,slightly inefficient,105,17801,0.5898545025560362
125,1,79b5307d,medium,efficient,7114,17801,39.96404696365373
126,1,79b5307d,very_high,efficient,1462,17801,8.213021740351666
127,1,a2f271b4,high,efficient,1523,5535,27.515808491418248
128,1,a2f271b4,low,efficient,787,5535,14.218608852755194
129,1,a2f271b4,low,slightly inefficient,8,5535,0.14453477868112016
130,1,a2f271b4,medium,efficient,2826,5535,51.056910569105696
131,1,a2f271b4,very_high,efficient,391,5535,7.064137308039747
132,1,b654db47,high,efficient,188,6953,2.7038688335970082
133,1,b654db47,idle,slightly inefficient,72,6953,1.0355242341435351
134,1,b654db47,low,efficient,3899,6953,56.07651373507838
135,1,b654db47,low,slightly inefficient,495,6953,7.119229109736805
136,1,b654db47,medium,efficient,2051,6953,29.498058392060983
137,1,b654db47,very_high,efficient,248,6953,3.566805695383288
138,1,cfc400f1,idle, extremely inefficient,69,13510,0.5107327905255367
139,1,cfc400f1,idle,efficient,2,13510,0.014803849000740192
140,1,cfc400f1,idle,inefficient,6616,13510,48.971132494448554
141,1,cfc400f1,idle,slightly inefficient,4402,13510,32.583271650629165
142,1,cfc400f1,low,efficient,1696,13510,12.553663952627684
143,1,cfc400f1,low,slightly inefficient,720,13510,5.329385640266469
144,1,cfc400f1,medium,efficient,5,13510,0.03700962250185048
145,2,0d4840c3,high,efficient,365,1172,31.14334470989761
146,2,0d4840c3,medium,efficient,807,1172,68.85665529010238
147,2,21e01022,high,efficient,2668,10519,25.36362772126628
148,2,21e01022,idle,inefficient,1,10519,0.00950660709192889
149,2,21e01022,idle,slightly inefficient,113,10519,1.0742466013879646
150,2,21e01022,low,efficient,3266,10519,31.04857876223976
151,2,21e01022,low,slightly inefficient,139,10519,1.3214183857781159
152,2,21e01022,medium,efficient,3429,10519,32.59815571822416
153,2,21e01022,very_high,efficient,903,10519,8.584466204011788
154,2,2d2d0311,high,efficient,1040,5017,20.72951963324696
155,2,2d2d0311,idle,slightly inefficient,1,5017,0.019932230416583617
156,2,2d2d0311,low,efficient,718,5017,14.311341439107036
157,2,2d2d0311,medium,efficient,2577,5017,51.365357783535984
158,2,2d2d0311,very_high,efficient,681,5017,13.573848913693443
159,2,3eb76848,high,efficient,6686,15904,42.0397384305835
160,2,3eb76848,low,efficient,707,15904,4.445422535211268
161,2,3eb76848,medium,efficient,4593,15904,28.87952716297787
162,2,3eb76848,very_high,efficient,3918,15904,24.635311871227366
163,2,4a4cffb4,high,efficient,1287,4065,31.660516605166052
164,2,4a4cffb4,idle,slightly inefficient,1,4065,0.02460024600246002
165,2,4a4cffb4,low,efficient,862,4065,21.20541205412054
166,2,4a4cffb4,medium,efficient,1008,4065,24.797047970479706
167,2,4a4cffb4,very_high,efficient,907,4065,22.31242312423124
168,2,54f5286d,high,efficient,2000,4899,40.824658093488466
169,2,54f5286d,low,efficient,268,4899,5.470504184527455
170,2,54f5286d,medium,efficient,2067,4899,42.19228413962033
171,2,54f5286d,very_high,efficient,564,4899,11.512553582363747
172,2,5c5e400b,idle, extremely inefficient,4,15700,0.025477707006369425
173,2,5c5e400b,idle,inefficient,6260,15700,39.87261146496815
174,2,5c5e400b,idle,slightly inefficient,9436,15700,60.101910828025474
175,2,77d57e28,high,efficient,2661,9532,27.916491817037347
176,2,77d57e28,low,efficient,729,9532,7.647922786403692
177,2,77d57e28,medium,efficient,3238,9532,33.969785984053715
178,2,77d57e28,very_high,efficient,2904,9532,30.465799412505245
179,2,79b5307d,high,efficient,5689,14193,40.08313957584725
