,cluster,node_name,cpu_cat,eff_class,count,node_count,percentage
0,0,6764465,idle, extremely inefficient,5350,35047,15.26521528233515
1,0,6764465,idle,inefficient,29573,35047,84.3809741204668
2,0,6764465,idle,slightly inefficient,122,35047,0.34810397466259596
3,0,6764465,low,efficient,1,35047,0.002853311267726196
4,0,6764465,low,slightly inefficient,1,35047,0.002853311267726196
5,0,06764465,idle, extremely inefficient,1,4133,0.024195499637067505
6,0,06764465,idle,inefficient,4129,4133,99.90321800145173
7,0,06764465,idle,slightly inefficient,3,4133,0.07258649891120252
8,0,184b905d,idle,inefficient,29257,39820,73.47312908086388
9,0,184b905d,idle,slightly inefficient,10409,39820,26.1401305876444
10,0,184b905d,low,slightly inefficient,154,39820,0.3867403314917127
11,0,3a4828f5,high,efficient,1,33743,0.002963577630916042
12,0,3a4828f5,idle, extremely inefficient,83,33743,0.2459769433660315
13,0,3a4828f5,idle,inefficient,30546,33743,90.5254423139614
14,0,3a4828f5,idle,slightly inefficient,2958,33743,8.766262632249653
15,0,3a4828f5,low,slightly inefficient,152,33743,0.45046379989923835
16,0,3a4828f5,medium,efficient,3,33743,0.008890732892748126
17,0,46362b76,idle,inefficient,19474,41614,46.796751093382035
18,0,46362b76,idle,slightly inefficient,22126,41614,53.169606382467435
19,0,46362b76,low,slightly inefficient,14,41614,0.033642524150526265
20,0,4985a7cf,idle, extremely inefficient,130,29732,0.43723933808690973
21,0,4985a7cf,idle,inefficient,28006,29732,94.19480694201535
22,0,4985a7cf,idle,slightly inefficient,1594,29732,5.361226960850262
23,0,4985a7cf,low,slightly inefficient,2,29732,0.00672675904749092
24,0,4d8b845e,idle, extremely inefficient,5,52010,0.009613535858488752
25,0,4d8b845e,idle,inefficient,34126,52010,65.61430494135743
26,0,4d8b845e,idle,slightly inefficient,17861,52010,34.34147279369352
27,0,4d8b845e,low,slightly inefficient,18,52010,0.03460872909055951
28,0,578d99bd,idle, extremely inefficient,52918,79570,66.50496418248083
29,0,578d99bd,idle,inefficient,26644,79570,33.48498177705165
30,0,578d99bd,idle,slightly inefficient,8,79570,0.010054040467512881
31,0,6342c79e,idle, extremely inefficient,18412,18426,99.92402040594813
32,0,6342c79e,low, extremely inefficient,14,18426,0.0759795940518832
33,0,668c569c,idle, extremely inefficient,18428,18428,100.0
34,0,7c804642,idle, extremely inefficient,3,32366,0.009268985972934561
35,0,7c804642,idle,inefficient,28309,32366,87.4652413026015
36,0,7c804642,idle,slightly inefficient,4053,32366,12.522400049434593
37,0,7c804642,low,slightly inefficient,1,32366,0.003089661990978187
38,0,972da8ab,idle, extremely inefficient,18902,30010,62.985671442852386
39,0,972da8ab,idle,inefficient,11017,30010,36.71109630123292
40,0,972da8ab,idle,slightly inefficient,49,30010,0.16327890703098968
41,0,972da8ab,low,slightly inefficient,42,30010,0.13995334888370542
42,0,a484c600,idle,inefficient,71945,74121,97.06425979142213
43,0,a484c600,idle,slightly inefficient,2173,74121,2.93169277262854
44,0,a484c600,low,slightly inefficient,3,74121,0.0040474359493261015
45,0,a639d055,idle,inefficient,20630,39750,51.899371069182386
46,0,a639d055,idle,slightly inefficient,19091,39750,48.02767295597484
47,0,a639d055,low,slightly inefficient,29,39750,0.0729559748427673
48,0,a9e38583,idle,inefficient,20134,33991,59.23332646877114
49,0,a9e38583,idle,slightly inefficient,13847,33991,40.737253978994445
50,0,a9e38583,low,slightly inefficient,10,33991,0.029419552234414996
51,0,bb1bcaff,idle, extremely inefficient,5366,36184,14.829759009506965
52,0,bb1bcaff,idle,inefficient,26805,36184,74.0797037364581
53,0,bb1bcaff,idle,slightly inefficient,4013,36184,11.090537254034933
54,0,c9900ab9,idle, extremely inefficient,8,79680,0.010040160642570281
55,0,c9900ab9,idle,inefficient,56266,79680,70.61495983935743
56,0,c9900ab9,idle,slightly inefficient,23004,79680,28.870481927710845
57,0,c9900ab9,low,slightly inefficient,402,79680,0.5045180722891566
58,0,d35334d1,idle, extremely inefficient,1545,19403,7.96268618254909
59,0,d35334d1,idle,inefficient,16115,19403,83.0541668814101
60,0,d35334d1,idle,slightly inefficient,1743,19403,8.983146936040818
61,0,d8d6d1e0,idle,inefficient,37809,39836,94.91163771462998
62,0,d8d6d1e0,idle,slightly inefficient,2025,39836,5.083341700973993
63,0,d8d6d1e0,low,slightly inefficient,2,39836,0.005020584396023697
64,0,dda1bb77,idle,inefficient,2,14589,0.013708958804578791
65,0,dda1bb77,idle,slightly inefficient,14243,14589,97.62835012680787
66,0,dda1bb77,low,slightly inefficient,344,14589,2.357940914387552
67,0,fb77ceef,idle, extremely inefficient,75,39838,0.18826246297504895
68,0,fb77ceef,idle,inefficient,39300,39838,98.64953059892565
69,0,fb77ceef,idle,slightly inefficient,461,39838,1.157186605753301
70,0,fb77ceef,low,slightly inefficient,2,39838,0.0050203323460013055
71,1,06764465,idle,inefficient,4361,4509,96.71767575959193
72,1,06764465,idle,slightly inefficient,148,4509,3.282324240408073
73,1,184b905d,low, extremely inefficient,1,1,100.0
74,1,3a4828f5,idle,inefficient,5311,6206,85.57847244601999
75,1,3a4828f5,idle,slightly inefficient,892,6206,14.373187238156623
76,1,3a4828f5,very_high,efficient,3,6206,0.048340315823396714
77,1,46362b76,idle,inefficient,76,8987,0.8456659619450317
78,1,46362b76,idle,slightly inefficient,110,8987,1.2239902080783354
79,1,46362b76,low,slightly inefficient,8801,8987,97.93034382997664
80,1,4985a7cf,idle,inefficient,304,11826,2.5706071368171823
81,1,4985a7cf,idle,slightly inefficient,11521,11826,97.42093691865381
82,1,4985a7cf,low,slightly inefficient,1,11826,0.00845594452900389
83,1,6342c79e,idle,inefficient,5579,21409,26.05913400906161
84,1,6342c79e,idle,slightly inefficient,15704,21409,73.35232845999346
85,1,6342c79e,low,slightly inefficient,126,21409,0.5885375309449297
86,1,668c569c,idle,inefficient,11034,21409,51.539072352748846
87,1,668c569c,idle,slightly inefficient,10358,21409,48.38152178990144
88,1,668c569c,low,slightly inefficient,17,21409,0.07940585734971273
89,1,7c804642,idle,inefficient,7600,7616,99.78991596638656
90,1,7c804642,idle,slightly inefficient,15,7616,0.19695378151260504
91,1,7c804642,low,slightly inefficient,1,7616,0.013130252100840336
92,1,a9e38583,idle,slightly inefficient,1543,6781,22.754755935702697
93,1,a9e38583,low,slightly inefficient,5238,6781,77.2452440642973
94,1,bb1bcaff,idle,inefficient,3467,4494,77.1473075211393
95,1,bb1bcaff,idle,slightly inefficient,1027,4494,22.852692478860703
96,1,d35334d1,idle,inefficient,3843,21617,17.777674978026553
97,1,d35334d1,idle,slightly inefficient,17671,21617,81.74584817504741
98,1,d35334d1,low,slightly inefficient,103,21617,0.47647684692603043
99,1,dda1bb77,idle,inefficient,2689,25348,10.608332018305191
100,1,dda1bb77,idle,slightly inefficient,22658,25348,89.38772289727001
101,1,dda1bb77,low,slightly inefficient,1,25348,0.0039450844248066904
102,2,6764465,idle, extremely inefficient,5,11870,0.04212299915754002
103,2,6764465,idle,inefficient,11859,11870,99.90732940185342
104,2,6764465,idle,slightly inefficient,6,11870,0.050547598989048016
105,2,06764465,idle,inefficient,284,286,99.3006993006993
106,2,06764465,idle,slightly inefficient,2,286,0.6993006993006993
107,2,184b905d,idle, extremely inefficient,1,16012,0.006245316012990257
