,cluster,node_name,cpu_cat,eff_class,count,node_count,percentage
0,0,366801,idle, extremely inefficient,21782,29443,73.9802329925619
1,0,366801,idle,inefficient,7485,29443,25.42200183405224
2,0,366801,idle,slightly inefficient,176,29443,0.5977651733858642
3,0,22655375,idle, extremely inefficient,140434,193720,72.49328928350197
4,0,22655375,idle,inefficient,2966,193720,1.5310757794755316
5,0,22655375,idle,slightly inefficient,50320,193720,25.975634937022505
6,0,49964896,idle,inefficient,195223,535634,36.44708887038537
7,0,49964896,idle,slightly inefficient,339659,535634,63.41251675584447
8,0,49964896,low,slightly inefficient,752,535634,0.14039437377014902
9,0,58512373,idle, extremely inefficient,103684,113018,91.74113857969527
10,0,58512373,idle,inefficient,9268,113018,8.200463642959528
11,0,58512373,idle,slightly inefficient,66,113018,0.05839777734520165
12,0,98811351,idle, extremely inefficient,184454,268330,68.7414750493795
13,0,98811351,idle,inefficient,79394,268330,29.588193642157044
14,0,98811351,idle,slightly inefficient,4479,268330,1.6692132821525734
15,0,98811351,low,slightly inefficient,3,268330,0.0011180263108858494
16,0,00366801,idle, extremely inefficient,2579,2606,98.96392939370683
17,0,00366801,idle,inefficient,18,2606,0.6907137375287797
18,0,00366801,idle,slightly inefficient,9,2606,0.34535686876438987
19,0,0049db0c,idle, extremely inefficient,395151,515144,76.70690137126707
20,0,0049db0c,idle,inefficient,7621,515144,1.4793921699563617
21,0,0049db0c,idle,slightly inefficient,112372,515144,21.813706458776576
22,0,0064a367,extreme,efficient,2495,9016,27.67302573203194
23,0,0064a367,high,efficient,2608,9016,28.926353149955634
24,0,0064a367,high,slightly inefficient,5,9016,0.05545696539485359
25,0,0064a367,low,slightly inefficient,51,9016,0.5656610470275066
26,0,0064a367,medium,efficient,1623,9016,18.001330967169476
27,0,0064a367,medium,slightly inefficient,677,9016,7.508873114463177
28,0,0064a367,very_high,efficient,1557,9016,17.26929902395741
29,0,0065ef1b,idle, extremely inefficient,118206,119526,98.8956377691883
30,0,0065ef1b,idle,inefficient,1320,119526,1.1043622308117063
31,0,05c5ef00,extreme,efficient,3850,8166,47.14670585353907
32,0,05c5ef00,high,efficient,2508,8166,30.71271124173402
33,0,05c5ef00,medium,efficient,281,8166,3.441097232427137
34,0,05c5ef00,medium,slightly inefficient,846,8166,10.360029390154299
35,0,05c5ef00,very_high,efficient,681,8166,8.33945628214548
36,0,0861be67,high,efficient,1487,39843,3.7321486835830635
37,0,0861be67,idle, extremely inefficient,34898,39843,87.58878598499109
38,0,0861be67,idle,inefficient,184,39843,0.46181261451195943
39,0,0861be67,idle,slightly inefficient,24,39843,0.06023642797982079
40,0,0861be67,low,slightly inefficient,1828,39843,4.588007931129684
41,0,0861be67,medium,efficient,1080,39843,2.710639259091936
42,0,0861be67,medium,slightly inefficient,342,39843,0.8583690987124464
43,0,111896c8,idle, extremely inefficient,39821,39834,99.96736456293618
44,0,111896c8,idle,inefficient,13,39834,0.03263543706381483
45,0,1125a01c,extreme,efficient,209,39840,0.5245983935742972
46,0,1125a01c,high,efficient,747,39840,1.875
47,0,1125a01c,idle, extremely inefficient,33996,39840,85.33132530120481
48,0,1125a01c,idle,inefficient,186,39840,0.4668674698795181
49,0,1125a01c,idle,slightly inefficient,23,39840,0.05773092369477912
50,0,1125a01c,low,slightly inefficient,2470,39840,6.199799196787149
51,0,1125a01c,medium,efficient,415,39840,1.0416666666666665
52,0,1125a01c,medium,slightly inefficient,1793,39840,4.500502008032129
53,0,1125a01c,very_high,efficient,1,39840,0.0025100401606425703
54,0,13a6f4c8,idle, extremely inefficient,184498,203837,90.5125173545529
55,0,13a6f4c8,idle,inefficient,16985,203837,8.33263833357045
56,0,13a6f4c8,idle,slightly inefficient,2349,203837,1.1523913715370615
57,0,13a6f4c8,low,slightly inefficient,5,203837,0.002452940339585061
58,0,1d247e53,idle, extremely inefficient,224224,278873,80.4036245889706
59,0,1d247e53,idle,inefficient,1799,278873,0.6450965134667035
60,0,1d247e53,idle,slightly inefficient,2562,278873,0.9186977584778735
61,0,1d247e53,low,slightly inefficient,32445,278873,11.634328170887825
62,0,1d247e53,medium,slightly inefficient,17843,278873,6.398252968196994
63,0,1e64c783,low,slightly inefficient,1354,30806,4.395247679023567
64,0,1e64c783,medium,slightly inefficient,29452,30806,95.60475232097644
65,0,22655375,idle, extremely inefficient,10199,10271,99.2989971765164
66,0,22655375,idle,inefficient,72,10271,0.7010028234835946
67,0,25fe225b,idle, extremely inefficient,308898,358560,86.1495983935743
68,0,25fe225b,idle,inefficient,44370,358560,12.374497991967871
69,0,25fe225b,idle,slightly inefficient,5292,358560,1.4759036144578312
70,0,28e8b849,idle, extremely inefficient,39779,39838,99.85190019579296
71,0,28e8b849,idle,inefficient,35,39838,0.08785581605502284
72,0,28e8b849,idle,slightly inefficient,24,39838,0.06024398815201566
73,0,2eea5215,extreme,efficient,3942,55841,7.059329166741284
74,0,2eea5215,high,efficient,4283,55841,7.669991583245286
75,0,2eea5215,idle, extremely inefficient,45517,55841,81.51179241059437
76,0,2eea5215,idle,inefficient,161,55841,0.28831861893590727
77,0,2eea5215,idle,slightly inefficient,134,55841,0.23996704930069304
78,0,2eea5215,low,slightly inefficient,335,55841,0.5999176232517326
79,0,2eea5215,medium,efficient,118,55841,0.21131426729464015
80,0,2eea5215,medium,slightly inefficient,329,55841,0.5891728299994627
81,0,2eea5215,very_high,efficient,1022,55841,1.830196450636629
82,0,2fded806,idle, extremely inefficient,107747,307650,35.022590606208354
83,0,2fded806,idle,inefficient,199569,307650,64.8688444661141
84,0,2fded806,idle,slightly inefficient,334,307650,0.10856492767755566
85,0,366801,idle, extremely inefficient,10185,10207,99.78446164396982
86,0,366801,idle,inefficient,22,10207,0.21553835603017538
87,0,391ea34d,idle, extremely inefficient,266394,375610,70.92303186816112
88,0,391ea34d,idle,inefficient,108650,375610,28.926279918000052
89,0,391ea34d,idle,slightly inefficient,558,375610,0.1485583450919837
90,0,391ea34d,low,slightly inefficient,8,375610,0.002129868746838476
91,0,3d7960e7,idle, extremely inefficient,147392,278866,52.85405893870174
92,0,3d7960e7,idle,inefficient,131474,278866,47.14594106129826
