,cluster,node_name,cpu_cat,eff_class,count,node_count,percentage
0,0,0eb86326,idle, extremely inefficient,145,9824,1.4759771986970684
1,0,0eb86326,idle,inefficient,5122,9824,52.137622149837135
2,0,0eb86326,idle,slightly inefficient,4557,9824,46.3864006514658
3,0,7f3747b5,idle, extremely inefficient,12550,39842,31.499422719742988
4,0,7f3747b5,idle,inefficient,27207,39842,68.28723457657748
5,0,7f3747b5,idle,slightly inefficient,85,39842,0.21334270367953417
6,0,ba36d475,idle,slightly inefficient,48,9212,0.5210594876248371
7,0,ba36d475,low,efficient,172,9212,1.8671298306556665
8,0,ba36d475,low,slightly inefficient,2964,9212,32.17542336083369
9,0,ba36d475,medium,efficient,6028,9212,65.4363873208858
10,0,d5a5fc09,idle, extremely inefficient,1193,26975,4.422613531047266
11,0,d5a5fc09,idle,inefficient,23776,26975,88.14087117701575
12,0,d5a5fc09,idle,slightly inefficient,1646,26975,6.10194624652456
13,0,d5a5fc09,low,efficient,12,26975,0.04448563484708063
14,0,d5a5fc09,low,slightly inefficient,348,26975,1.2900834105653383
15,0,fe2955c5,idle, extremely inefficient,7748,12241,63.29548239522915
16,0,fe2955c5,idle,inefficient,4408,12241,36.01012989134875
17,0,fe2955c5,idle,slightly inefficient,85,12241,0.694387713422106
18,1,0eb86326,idle,slightly inefficient,9044,11587,78.05299042029861
19,1,0eb86326,low, extremely inefficient,2,11587,0.0172607232243031
20,1,0eb86326,low,efficient,34,11587,0.2934322948131527
21,1,0eb86326,low,slightly inefficient,2495,11587,21.532752222318116
22,1,0eb86326,medium,efficient,12,11587,0.10356433934581859
23,1,7f3747b5,idle, extremely inefficient,12617,13435,93.91142538146632
24,1,7f3747b5,idle,inefficient,816,13435,6.073688128023819
25,1,7f3747b5,idle,slightly inefficient,2,13435,0.014886490509862299
26,1,ba36d475,idle,inefficient,29056,31407,92.51440761613652
27,1,ba36d475,idle,slightly inefficient,2340,31407,7.4505683446365465
28,1,ba36d475,low,efficient,4,31407,0.012736014264335977
29,1,ba36d475,low,slightly inefficient,7,31407,0.022288024962587957
30,1,d5a5fc09,high,efficient,5,13049,0.038317112422407845
31,1,d5a5fc09,idle,slightly inefficient,145,13049,1.1111962602498275
32,1,d5a5fc09,low,efficient,199,13049,1.5250210744118322
33,1,d5a5fc09,low,slightly inefficient,4011,13049,30.737987585255578
34,1,d5a5fc09,medium,efficient,8689,13049,66.58747796766036
35,1,fe2955c5,idle, extremely inefficient,14323,15996,89.54113528382096
36,1,fe2955c5,idle,inefficient,1669,15996,10.433858464616154
37,1,fe2955c5,idle,slightly inefficient,4,15996,0.025006251562890724
38,2,0eb86326,idle, extremely inefficient,34035,34434,98.84126154382297
39,2,0eb86326,low, extremely inefficient,399,34434,1.1587384561770342
40,2,7f3747b5,idle, extremely inefficient,1704,2568,66.35514018691589
41,2,7f3747b5,idle,inefficient,858,2568,33.41121495327103
42,2,7f3747b5,idle,slightly inefficient,6,2568,0.23364485981308408
43,2,ba36d475,idle, extremely inefficient,9,15226,0.05910941810061736
44,2,ba36d475,idle,inefficient,14610,15226,95.95428871666886
45,2,ba36d475,idle,slightly inefficient,606,15226,3.980034152108236
46,2,ba36d475,low,slightly inefficient,1,15226,0.006567713122290817
47,2,d5a5fc09,idle, extremely inefficient,12988,15821,82.09342013779154
48,2,d5a5fc09,idle,inefficient,2721,15821,17.198660008848996
49,2,d5a5fc09,idle,slightly inefficient,110,15821,0.6952784274066115
50,2,d5a5fc09,low,efficient,1,15821,0.0063207129764237405
51,2,d5a5fc09,low,slightly inefficient,1,15821,0.0063207129764237405
52,2,fe2955c5,idle, extremely inefficient,15616,27608,56.56331498116488
53,2,fe2955c5,idle,inefficient,11988,27608,43.42219646479281
54,2,fe2955c5,idle,slightly inefficient,4,27608,0.014488554042306579
