,cluster,node_name,cpu_cat,eff_class,count,node_count,percentage
0,0,3176c89e,idle,inefficient,13722,119523,11.480635526216712
1,0,3176c89e,idle,slightly inefficient,105801,119523,88.51936447378328
2,0,4791e4fe,idle,inefficient,38995,39841,97.87655932331015
3,0,4791e4fe,idle,slightly inefficient,846,39841,2.123440676689842
4,0,6ff55332,idle,inefficient,9,119514,0.007530498519001958
5,0,6ff55332,idle,slightly inefficient,119505,119514,99.992469501481
6,0,7e99a5c6,idle,efficient,2,79672,0.0025102921980118486
7,0,7e99a5c6,idle,slightly inefficient,79654,79672,99.97740737021789
8,0,7e99a5c6,low,efficient,4,79672,0.005020584396023697
9,0,7e99a5c6,medium,efficient,12,79672,0.01506175318807109
10,0,7f384201,idle,inefficient,272,159348,0.17069558450686548
11,0,7f384201,idle,slightly inefficient,158212,159348,99.28709491176544
12,0,7f384201,low,efficient,180,159348,0.11296031327660215
13,0,7f384201,low,slightly inefficient,680,159348,0.4267389612671637
14,0,7f384201,medium,efficient,4,159348,0.0025102291839244925
15,0,a2ff297e,idle,slightly inefficient,127194,127215,99.98349251267538
16,0,a2ff297e,low,slightly inefficient,21,127215,0.016507487324607946
17,0,b022aa11,idle,inefficient,38668,39839,97.06066919350386
18,0,b022aa11,idle,slightly inefficient,1171,39839,2.939330806496147
19,0,c2736b43,idle,inefficient,24898,79670,31.251412074808588
20,0,c2736b43,idle,slightly inefficient,54300,79670,68.15614409438936
21,0,c2736b43,low,efficient,34,79670,0.04267603865947032
22,0,c2736b43,low,slightly inefficient,438,79670,0.5497677921425882
23,1,a2ff297e,idle,slightly inefficient,45478,48144,94.4624459953473
24,1,a2ff297e,low,efficient,334,48144,0.6937520771020272
25,1,a2ff297e,low,slightly inefficient,2327,48144,4.833416417414424
26,1,a2ff297e,medium,efficient,5,48144,0.010385510136257893
27,2,3176c89e,idle,inefficient,11036,16004,68.95776055986003
28,2,3176c89e,idle,slightly inefficient,4968,16004,31.042239440139962
29,2,4791e4fe,idle,inefficient,15933,16004,99.55636090977255
30,2,4791e4fe,idle,slightly inefficient,71,16004,0.44363909022744313
31,2,6ff55332,idle,inefficient,1182,16007,7.384269382145312
32,2,6ff55332,idle,slightly inefficient,14824,16007,92.60948335103393
33,2,6ff55332,low,efficient,1,16007,0.006247266820765915
34,2,7e99a5c6,idle,slightly inefficient,16009,16009,100.0
35,2,7f384201,idle,inefficient,1857,16008,11.600449775112445
36,2,7f384201,idle,slightly inefficient,14151,16008,88.39955022488756
37,2,b022aa11,idle,inefficient,15858,16005,99.08153701968135
38,2,b022aa11,idle,slightly inefficient,147,16005,0.9184629803186505
39,2,c2736b43,idle,inefficient,4226,16010,26.396002498438477
40,2,c2736b43,idle,slightly inefficient,11784,16010,73.60399750156152
