cpu_cat,extreme,high,idle,low,medium,very_high,extreme,high,idle,low,medium,very_high,extreme,high,idle,low,medium,very_high,extreme,high,idle,low,medium,very_high
eff_class,efficient,efficient,efficient,efficient,efficient,efficient,inefficient,inefficient,inefficient,inefficient,inefficient,inefficient,moderate,moderate,moderate,moderate,moderate,moderate,slightly inefficient,slightly inefficient,slightly inefficient,slightly inefficient,slightly inefficient,slightly inefficient
node_name,,,,,,,,,,,,,,,,,,,,,,,,
366801,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22655375,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49964896,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58512373,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98811351,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00366801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0
0049db0c,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0064a367,0.0,0.05,0.0,0.0,1.99,0.0,5.05,0.0,26.99,0.0,0.0,0.0,0.0,0.0,49.37,10.98,2.81,0.0,0.0,0.0,2.77,0.0,0.0,0.0
