hour,0eb86326,7f3747b5,ba36d475,d5a5fc09,fe2955c5
0,154.30486363636365,91.440375,161.27980603448276,163.72419396551723,94.85557758620689
1,150.54914772727273,91.26544396551724,158.57473706896553,165.70942672413793,94.79698275862069
2,148.58522727272728,91.28659051724138,157.73959051724137,161.87497844827587,94.73848706896553
3,146.72243181818183,91.1989827586207,157.23522413793103,158.49891810344826,94.82286637931034
4,144.068125,91.51535344827586,156.7448275862069,157.71772413793104,94.85957327586206
5,141.4545340909091,91.51358189655173,155.01388362068965,157.17455172413793,94.82587931034483
6,143.24704545454546,91.42809913793104,154.82029310344828,156.17168965517243,94.94643534482759
7,153.15244318181817,91.42054310344828,153.92059051724138,156.51860344827585,94.94863362068965
8,160.752875,91.46799137931033,153.49595689655172,156.9493620689655,94.9220474137931
9,164.3270416197975,91.81763847144697,153.4793087161872,160.08624302275655,95.05331043366252
10,168.62964444444444,91.55310256410257,154.63017521367522,160.6984957264957,95.07155555555556
11,167.39723333333333,91.81165811965812,155.43590598290598,160.84471794871794,95.07020512820513
12,166.84067777777776,91.69618803418803,156.71425213675212,160.32897435897436,95.13039743589744
13,169.39912222222222,91.4436452991453,155.67875213675214,159.10711965811964,94.84901282051283
14,169.96672222222222,91.4786623931624,156.76273076923076,156.51282478632479,94.91491025641027
15,171.65635555555556,91.56913675213676,155.92696153846154,154.73973076923076,95.02098717948718
16,171.01852222222223,91.32295726495727,157.74961111111114,157.07258547008547,94.83072222222224
17,169.53336666666667,91.41787243150685,158.0961044520548,156.99113869863012,94.83363441780821
18,169.5259,91.35524137931034,156.47539655172412,158.86028879310345,94.96831896551724
19,166.87779999999998,91.60234913793104,155.80018534482758,166.007125,94.98161637931035
20,165.8824,91.61130603448277,155.65291379310347,170.8634224137931,94.89075862068965
21,164.82965555555555,91.52691810344828,156.07827586206895,165.46543965517242,95.07615086206897
22,161.1157777777778,91.5620775862069,155.7866551724138,163.15843534482758,94.9521551724138
23,159.91021111111112,91.51218534482759,155.75675862068965,163.30094396551723,94.90340517241378
