hour,0ad2c0c4,2dbc131e,341872a6,41721e4b,5180b174,5333662e,5ede733f,6fdf4d0d,8674a4f2,8ccd7b3c,8d5a6c7e,a2ffa1e3,b9c737a2,bce59923,bd55f82d,c658b44f,e5886d85,eb5d8f42,f006f6ea,f301a5e3
0,63.09204761904761,228.915,280.3402783018868,64.2542,293.1359339622642,221.15292173913042,63.27524056603774,188.97616233766232,257.72887735849054,231.5556,126.14670952380953,63.44582075471699,200.99441981132074,254.52274528301885,64.63247641509435,175.1949386792453,251.2300476190476,63.48698952879581,206.43788679245284,82.21561764705882
1,62.86421904761904,229.56996226415094,280.6453349056604,64.54549999999999,292.4842924528302,220.12041304347827,63.42374056603773,189.84851948051946,257.5889245283019,232.38893333333334,126.36251904761903,63.30578301886793,200.26416981132076,253.32933018867928,64.54837735849057,175.33730660377358,252.36497619047617,63.12971598414795,204.6824150943396,82.01942647058823
2,62.855533333333334,228.40096698113206,281.4424528301887,64.34701904761904,292.1218113207547,219.65236086956523,63.16825,189.81499350649352,257.6329386792453,230.37868095238093,126.32925714285714,63.410466981132075,198.26815094339622,255.0510754716981,64.31721226415094,174.34675943396226,250.63091904761907,63.40173165895572,204.87424528301887,81.85285294117648
3,62.8008619047619,227.5566603773585,279.53375,64.32971428571429,293.0589669811321,219.51888260869566,63.28618396226415,189.46218831168832,257.4332641509434,230.55875238095237,125.68644761904761,63.24146698113208,195.5315424528302,255.94256603773584,64.48151886792454,173.37025471698112,251.28974285714284,63.52245901639344,203.99684905660376,81.97292647058823
4,63.13814285714286,226.75552358490566,278.83874056603776,64.14865714285715,293.5205094339623,219.90735217391304,63.31599528301887,189.40466233766233,260.6069339622641,231.86830476190477,125.85773333333333,63.54972641509435,195.87669339622641,255.77841037735848,64.45312735849056,173.8734858490566,253.7492714285714,63.37630363036304,203.89390566037736,81.14698529411764
5,62.95076666666666,224.34117452830188,278.05811320754714,64.33688095238095,293.2822594339623,220.0348347826087,63.17925,188.8258246753247,258.66599056603775,231.3175238095238,125.81493333333333,63.25402358490566,195.66593867924527,254.17686320754714,64.44133490566038,173.41041509433964,252.88965238095238,63.3454503616042,205.5865,81.88230882352941
6,63.11988095238095,223.88047641509434,276.69884433962267,64.08528571428572,293.37273113207544,218.3791347826087,63.147792452830195,187.75111688311688,259.316070754717,231.74679047619048,125.70617619047617,63.331792452830186,195.4348113207547,255.82540566037736,64.40834905660378,172.33332547169812,252.7118523809524,63.156310299869624,204.95681603773585,81.84798529411765
7,62.9549,224.73427830188677,276.5942547169811,64.18603809523809,294.06056132075474,218.52109565217393,63.18549528301887,187.96107142857142,258.7027924528302,230.33021904761907,124.45866666666667,63.25244339622641,194.98198113207548,254.95438679245285,64.36514622641509,171.43862264150943,253.72068095238097,63.01902695595003,202.7170141509434,82.11504411764706
8,63.00642857142857,223.78459433962266,275.35085377358496,64.16789523809523,291.62581603773583,217.6104695652174,63.25627358490566,188.86465584415586,257.2777169811321,228.98171428571428,122.87368571428571,63.180004716981124,195.44772641509434,251.58984905660375,64.59234433962264,171.50945283018868,254.77936666666668,63.21863606557377,200.84112264150943,82.47782352941176
9,63.07929047619048,223.5463537735849,275.4504103773585,64.53948095238096,289.4465188679245,218.89425292334346,63.469353773584906,187.22081342801806,257.40951415094344,230.3459761904762,124.72844761904761,63.318547169811325,195.42346698113207,253.63198113207548,64.5050424528302,171.85136792452832,255.17470952380953,63.45105332455562,203.6658820754717,82.07080882352942
10,63.17202857142858,223.34191981132076,278.53871698113204,64.3572380952381,290.49984433962265,221.68108620689654,63.37021226415094,183.35081237911024,258.37196698113206,230.19593333333336,125.38072380952381,63.26637264150943,196.36987264150943,252.4286179245283,64.3946037735849,172.08779716981132,253.96352857142858,63.31432291666667,203.08639150943398,82.66467647058823
11,63.1745619047619,227.84430646672914,282.32961574507965,64.31770476190476,289.35381153305207,225.11158441558442,63.22006091846298,192.90175163398692,257.63961556493206,237.90956190476192,127.42872857142858,64.04726804123712,200.50252577319588,256.9822315986873,64.52141115799344,174.28494139709332,258.5327904761905,63.644507874015744,209.44596812001876,83.11458874458874
12,63.02855238095238,226.25229906542054,280.6439672897196,64.50743809523809,293.69545794392525,224.2449608695652,63.31076168224299,185.38383552631578,258.29284112149537,237.18962857142856,125.05616190476191,63.8917429906542,197.97670093457944,256.21581308411214,64.7355186915888,172.69547196261684,259.1856761904762,63.356443569553804,207.03192523364487,83.24265714285714
13,63.04918095238095,226.97125700934578,278.8713878504673,64.20894761904762,294.0421028037383,224.08771304347826,63.29284579439253,185.0066710526316,257.82000000000005,236.49849523809524,122.0466142857143,63.33030373831776,198.51179906542055,257.58406074766356,64.93095327102803,172.71180373831777,258.43662380952384,63.41627399073462,207.3598598130841,83.34284285714286
14,62.998466666666666,225.16041121495329,277.28257009345793,64.21133809523809,292.034238317757,222.09933913043477,63.194742990654206,184.11950000000002,256.0506261682243,231.9229,122.33157142857142,63.16202336448599,196.60290654205608,253.19784579439252,64.50967289719627,170.0981448598131,254.66746190476192,63.38918543046358,203.95646728971963,83.32135714285714
15,62.982265402843595,223.92604672897195,276.588738317757,64.38335545023696,291.95253271028037,220.11664937310852,63.34582242990654,182.82201954397394,256.77735046728975,232.19098531501658,123.22983428030304,63.29138317757009,197.16520093457945,252.22282242990653,64.44582710280375,169.193261682243,252.2892755681818,63.53492734478204,203.6581448598131,83.99507142857144
16,63.258655660377364,222.10748130841122,276.38616355140186,64.50815094339623,293.4922242990654,220.58761637931036,63.33419626168224,181.46535714285716,257.8512803738318,233.83573584905662,124.31196226415094,63.25398598130841,197.79529439252337,253.08330373831777,64.5596168224299,169.1878504672897,251.19816509433963,63.573833004602236,206.88159345794392,83.54995714285714
