hour,366801,22655375,49964896,58512373,98811351,00366801,0049db0c,0064a367,0065ef1b,05c5ef00,0861be67,111896c8,1125a01c,13a6f4c8,1d247e53,1e64c783,22655375,25fe225b,28e8b849,2eea5215,2fded806,366801,391ea34d,3d7960e7,417242bc,43e593b3,46de937b,4786760b,497660f4,49964896,51244a6f,5433c3e6,54c3811d,58512373,5d7db037,5e87c22e,6a1acc69,6bb5c698,6d834fb8,764b2e98,788b0a71,7c7d255d,7da5db71,7f4f3762,82415d68,85c6cd05,85ebbabd,8621bb59,88b02143,8bab4dff,8d2843f5,98811351,a22bdd7c,a26788f6,a4ec376f,a57bfdd7,b1b36b26,b6002837,b88cae4d,bb37a269,cbf4a974,ce52f982,d424b38d,d7ea95c2,de50c1fe,e2b6ed0e,e41df102,e4362c19,e998d442,ea7f6999,fd5a1b56
0,408.3968015873016,411.515316953317,428.5569185739436,411.28347683397686,415.77332800284296,402.99077777777774,419.54815479452054,516.263599137931,411.9323482142857,497.858,420.4468879310345,413.50060344827585,421.29486637931035,420.04214900662254,435.90319325657896,482.96555196629214,403.4336590909091,419.93992098445597,416.5692456896552,474.75457758620695,400.06808008982034,402.3200857142857,405.5579236024845,423.95242023026316,398.619125,433.2905022255193,499.4992413793103,422.06899568965514,565.7604494382023,421.5205833333333,417.56627678571425,536.4881336206896,422.228399122807,408.4422096774194,413.0751937394247,406.28317927631576,409.83540625,408.2286024774775,493.3098836206896,542.955426724138,417.26031896551723,411.1232025862069,419.9655022522523,399.8952063953488,426.1984832657201,441.0207890909091,435.5710058394161,418.17374568965516,479.690805785124,414.68219124087585,449.9567761627907,412.31198181818183,404.5973333333333,403.00650798722046,491.0277836180464,431.0798965517241,438.6709784482759,414.7217943037974,407.8886594827586,416.9417039403621,530.7883793103448,404.53650357142857,405.94724959083464,434.3542256637168,412.3079887218045,521.2472567567568,415.26191803278687,433.5418255451713,411.52252586206896,411.03057758620685,425.2229571428571
1,408.6304893449092,411.4031203931204,427.9469947183099,411.0917374517375,416.06745462633455,402.83597222222227,419.4355598173516,514.7179525862068,411.73097678571435,497.93197844827586,420.5409396551724,413.39139655172414,421.0549655172414,419.7974558498897,437.05187993421055,482.0447724719101,403.31437500000004,419.82188471502593,416.4206293103448,474.2937672413793,399.9368435628743,402.3735497835498,405.4834708074534,423.89612746710526,398.49296120689655,432.26060830860536,497.808262181975,420.8610775862069,565.0092284482758,421.49525,417.45997678571433,535.4626336206896,422.2788245614035,407.84132258064517,412.87421319796954,406.19493914473685,409.7138003472223,408.1596677927928,491.56278879310344,538.3652413793104,416.6080905172414,411.0276034482759,418.74241441441444,399.79815697674417,426.0529680527383,440.2567177272727,433.9416080291971,418.0760517241379,482.7757396694215,414.0537605839416,449.2807592054263,412.1939,404.6014065656566,402.91810702875404,488.09126137841355,430.66404310344825,438.6881379310345,413.883417721519,407.9119224137931,416.01066240681575,533.6113318965517,403.83975714285714,405.86548936170215,436.88393124724547,412.10028007518804,521.1034718468469,415.0718887587822,433.0956539460021,411.49953448275863,410.9558405172414,425.1196339285715
2,408.387984375,411.1986105651106,427.7395642605634,410.89302262618446,416.15333718861206,402.5670277777778,419.2922191780822,513.7667370689655,411.6712446428572,497.57175862068965,419.8551724137931,413.3293146551724,422.12678879310346,419.7669613686534,436.87002960526314,481.71501123595505,403.1345568181818,419.77616904145077,416.2265948275862,472.4319482758621,399.8805553892215,402.3381617647059,405.49514720496893,423.77766447368424,398.40528017241377,431.2213583086054,497.29810869565216,420.30863362068965,563.3752456896552,421.65719444444443,417.3823589285714,536.9213534482759,423.52843859649124,407.5556915739269,412.82582994923854,406.1121628289474,409.6932161458333,408.23707207207207,492.1519267241379,538.170202586207,416.61175431034485,410.8796637931034,418.5750472972973,399.6938023255814,425.9602464503043,440.6178740909091,434.4644503649635,418.0034827586207,486.66307276507274,413.6827379562044,449.09709496124026,411.95583636363637,404.50205808080807,402.8632100638977,487.26849568965514,431.9068103448276,436.80883189655174,413.9567905063291,407.88290086206894,415.7805053248136,536.4977715517242,403.8090517857143,405.7082291325695,436.8685295404814,411.9236936090225,521.1953536036036,415.12060889929745,432.8627497403946,411.4668146551724,410.8713793103448,425.14747321428575
3,408.201140625,411.13254545454544,427.6577099471831,410.90423437500004,415.63397330960856,402.6203888888889,419.2359643835616,515.038547413793,411.6259053571428,497.25453448275863,419.7054612068966,413.1622672413793,421.95049137931034,419.5585629139073,436.6741628289474,481.10451123595504,403.2347613636364,419.91627396373053,416.09375,470.03218103448273,399.8131137724551,402.3160882352941,405.2753888198758,423.6517582236842,398.3363620689655,428.0673976261127,497.3218173913043,420.7777413793103,563.8925732758621,421.4075,417.3813589285714,536.567176724138,424.61875,407.11361764705885,412.69826818950935,405.98667763157897,409.6097291666667,408.339347972973,491.03434913793103,538.2015,416.680275862069,410.80137499999995,418.44962725225224,399.6645106589147,425.81225659229204,440.72958727272726,434.45474379562046,417.88959913793104,485.8367512479202,413.481097080292,449.2411448643411,411.6204090909091,404.3345429292929,402.82291453674117,486.9000431034483,430.53616379310347,435.35868103448274,413.835767721519,407.79554741379314,415.9702481363152,536.570275862069,403.73159285714286,405.638460720131,437.0792434782609,411.7465723684211,520.1077072072072,415.0940667447307,432.7653901869159,411.3266939655173,410.77300431034485,424.98863392857146
4,408.17037500000004,410.96606756756756,427.55360188945787,410.9617578125,415.5771734875445,402.4542857142857,419.263897716895,512.9130344827586,411.44906785714284,496.17555172413796,420.3224525862069,413.1460818965517,421.8024396551724,419.4420419426049,436.60430016447367,480.6721264044944,403.4005,420.19357772020726,416.04953448275865,469.66315086206896,399.741244011976,402.0906213017752,405.155048447205,423.704046875,398.31260344827587,429.2754948071217,497.11828260869567,420.4567025862069,560.5871724137932,421.2963055555556,417.4104642857143,532.0470732758621,423.6561710526316,407.87127941176465,412.70304230118444,405.90501562500003,409.6699887152777,408.15782432432434,491.0341465517241,536.665073275862,416.65292241379314,410.73349137931035,418.312134009009,399.5906501937984,425.79908722109536,440.44926000000004,434.13684671532843,417.8318965517241,483.3589958333334,413.53010072992697,449.4440266472869,411.6511636363636,404.3214671717172,402.7401397763578,487.8080129310345,430.67269546436285,435.6939913793104,413.749817721519,407.65763793103446,415.614315228967,536.3092198275862,403.65737142857137,405.5882872340426,437.3871565217391,411.72604417293235,519.2026599099099,415.08953044496485,432.8486066978193,411.28688362068965,410.73316810344824,425.05615
5,408.212828125,410.95380343980344,427.92259919571046,411.050908203125,415.4655507117438,402.59660526315787,419.2629849315068,511.8634698275862,411.28353928571426,492.8141724137931,419.6418060344827,413.12090948275863,422.0014612068966,419.3004514348786,436.43277138157896,480.0333089887641,403.21785227272727,420.2545136010363,416.0660646551724,469.1885689655172,399.72693338323353,402.24480303030305,405.14193788819875,423.7550501644737,398.30188793103446,426.6632700296736,496.94194347826084,420.3274224137931,561.8289655172414,422.45352777777777,417.4865910714286,526.7514482758621,422.1516017699115,408.0093382352941,412.6975820642978,405.78575986842105,409.7043541666667,408.2877184684685,490.33476724137927,534.4348965517241,416.79480603448275,410.7237370689655,418.2303434684685,399.5486385658915,425.6452134888438,440.3702468181818,433.96272554744525,417.8415344827586,482.18503333333337,413.41025985401456,449.2881036821706,411.6044727272727,404.2488888888889,402.7818714057508,488.6496336206896,430.2802380952381,435.47224568965515,413.533838607595,407.35376293103445,415.523815228967,537.6288879310345,403.69754464285717,405.5759427168576,436.9741913043478,411.7289050751879,518.9889346846848,415.1297435597189,432.81233073727935,410.9833577586207,410.6986206896552,425.0217035714286
6,408.2702421875,410.8768452088452,428.15077256479,411.24754296875,415.44164145907473,403.07018421052635,419.3029150684931,510.5757629310345,411.49702499999995,492.4525215517242,419.61312068965515,413.16811637931033,422.2069051724138,419.68389845474616,436.44174917763155,478.8621811797753,402.9895113636364,420.3210401554404,416.064974137931,469.2064137931034,399.73175,402.0968787878788,405.203,423.5968174342105,398.24397844827587,427.64641023738875,493.88436821537124,421.0100603448276,563.4743922413793,422.72905555555553,417.47076785714285,527.2183706896552,422.2805575221239,407.9017794117647,412.6224289340102,405.8113092105263,409.6476605902778,408.2102623873874,492.94603879310347,531.9625344827587,416.0265344827586,410.7473836206897,418.2844898648649,399.6374031007752,425.8332302231238,440.5819659090909,434.0044708029197,417.88350431034485,487.1336541666667,413.1233737226277,449.6391235465116,411.2482090909091,404.3114090909091,402.72484744408945,487.27538362068964,429.9193448275862,435.02657327586206,413.5657563291139,407.37711637931034,416.48841054313095,535.4012327586207,403.696075,405.6559484451719,437.0158043478261,411.8486259398496,518.1537646396396,414.95370843091337,432.93202102803735,411.06562931034483,410.71449137931035,424.9252178571429
7,408.58915625,410.9857727272727,428.17150808541055,411.17606640625,415.3614661921708,402.6491842105263,419.4658296803653,509.59225431034486,411.56541250000004,490.9143706896552,419.6529051724138,413.2724870689655,421.0541594827586,419.8439911699779,436.44030674342105,478.0815519662921,403.30381818181814,420.4298775906735,416.2521853448276,469.2534913793104,399.8384468562875,402.27642424242424,405.12353788819877,423.79668996710524,398.30471551724133,428.3687670623146,494.8300217391305,419.7993103448276,559.5713620689655,422.2800277777778,417.6012785714286,521.2478146551724,422.46015929203537,408.06601470588237,412.63909813874784,405.8397845394737,409.6792795138889,408.3619166666667,487.9680215517242,530.027926724138,416.1395948275862,410.96620258620686,418.401731981982,399.56034011627906,425.80063276377837,441.16048863636365,433.8607598540146,418.01322413793105,487.6677041666667,412.99985401459855,449.72807595427247,411.6346454545454,404.3519924242424,402.8372036741214,486.2244137931034,430.38849568965514,435.4730129310345,413.52227658227844,407.3049310344827,415.79973056443026,532.2362715517241,403.81116607142854,405.74938543371525,437.2582043478261,411.9501842105263,517.6732905405406,415.0740456674473,432.81696915407383,410.95602586206894,410.80782327586206,425.0821535714286
8,408.5036796193497,410.8413451219512,428.496523145072,411.3712143549951,415.71332835951904,402.6643157894737,419.4221422076741,509.7525948275862,411.5441640042598,494.4231163793103,420.710150862069,413.2711120689655,422.44100431034485,420.2841393667141,435.54928454753355,477.43868187579216,403.1468295454546,420.3419248071979,416.4874181034483,467.35497413793104,399.8818102233103,402.30706921944034,405.04752111460454,423.56273737538817,398.3912672413793,430.60419950014705,495.1555130434782,420.45767241379315,559.3136939655172,422.0903611111111,417.7033754448399,531.9701896551725,422.82156194690265,408.0868970588236,412.4680257186082,405.80701261467885,409.7246619584876,408.3278459471563,485.9374655172413,533.3310775862069,416.3789353448276,410.9503706896552,419.2205712365591,399.53172513214804,425.6386020208114,441.4314825162221,435.4152621274744,418.0908318965517,487.27230165289257,413.71527400740365,450.6068962536023,411.556,404.38001761892775,402.90596208756347,488.36843965517244,430.7136034482759,435.1820474137931,413.3708719758065,406.93589655172417,415.91661751445395,536.8333146551724,403.8892636072572,405.79558856957294,435.87194782608697,412.1015591798696,516.462205421147,415.1196760334417,432.6895951143451,410.7114181034483,410.8861681034483,425.0584002130682
9,408.4541292356186,410.79379019631455,428.57952742505563,411.59227684596107,416.16438642297646,402.7216842105263,419.5077544506384,509.96587805925293,411.92598729486497,492.7346285959639,421.18282954057537,413.45844139115496,422.84440532417347,420.5110165253316,435.1781779146075,476.3437705146036,403.25193181818184,420.282317454244,416.624027479605,465.52226706741095,400.1151080144511,402.4190441176471,405.20198262146613,423.6116373653083,398.58829540575357,430.7583152371931,498.47247726288435,420.32719622155435,566.4222928295405,422.6920277777778,417.7696011999294,538.7490510948905,424.7590700749229,407.67016176470594,412.62335416145964,406.0707056631289,409.6493230322691,408.3274347584675,482.57364963503653,532.9915027908974,416.6232975525977,411.08305281236585,419.82639866740703,399.7409159647779,425.7612020332901,441.27555977993467,436.01014893157776,418.27601545727777,484.68079787234046,414.59606272027617,450.76710672953277,412.46035454545455,404.56380440220113,402.99781451232917,490.84654358093604,429.87431515671966,435.11945899527694,413.550602206845,407.1184585659081,416.11827332457295,538.1540489480464,404.1482812775719,406.0184587495972,435.60390645301,412.2975338150825,516.399993337035,415.1584258511252,432.72344086578295,410.88479604980677,411.1460626878489,425.3773230986413
