hour,3176c89e,4791e4fe,6ff55332,7e99a5c6,7f384201,a2ff297e,b022aa11,c2736b43
0,100.22155535714285,98.49481465517242,113.84329642857142,101.25996212121213,100.5691367403315,148.8745814917127,94.73333620689655,90.13185858585858
1,100.14739285714286,98.56320689655173,101.12153571428571,100.74087626262626,100.46278038674033,115.23763397790054,94.78165086206896,89.86613888888888
2,99.96455535714286,98.35598706896552,100.5936107142857,100.32249747474748,100.1553908839779,115.08195994475139,94.50399568965517,89.34948232323232
3,99.80572142857143,98.41531034482759,109.63118035714285,100.25119696969696,100.09086740331492,151.86343922651935,94.39649568965517,88.78435101010102
4,99.88530178571428,98.5571551724138,100.10789464285713,99.94239646464646,99.9335593922652,117.63417955801104,94.5604224137931,88.42853787878788
5,99.58619107142857,98.4636551724138,100.10118750000001,99.96833333333333,99.99289779005524,116.7036726519337,94.37941810344827,88.73362878787879
6,100.22658750000001,98.76531896551724,112.13950357142856,100.1904595959596,100.86821408839779,153.05746132596684,94.66400431034482,88.90745707070708
7,100.12247142857142,98.6557025862069,100.92910892857142,100.60000252525252,100.76790883977901,124.28282182320442,94.40147844827585,88.9205101010101
8,100.47184126420456,98.79275,101.28972449342339,101.00402165701334,100.73949422759759,129.65553235334525,94.52013793103448,88.6600604534005
9,100.59705311452268,98.85750536711035,116.03872419269454,101.3182316158079,101.37363822246456,162.03041848418755,94.877299270073,88.68873686843422
10,100.5825701754386,98.94435042735043,101.72920350877192,101.30300995024875,101.65603116531166,133.90009620596206,94.82219658119658,88.77323631840795
11,100.66815263157895,98.86572222222223,101.27381052631578,101.14884577114428,101.79051490514905,131.40867886178862,94.9035170940171,88.49944527363185
12,100.68900000000001,98.98710256410257,114.42782105263157,101.01622388059701,103.21122357723577,159.0852249322493,95.15628632478632,88.39202985074627
13,101.20549824561402,99.05993162393162,101.86469473684211,100.61805472636816,102.76388617886178,129.85368292682926,95.09133333333334,88.66246517412935
14,100.9881947368421,98.99620085470085,101.53307368421054,100.92389054726368,103.14653387533876,129.03514769647697,95.17415811965812,88.61200995024876
15,101.08728596491228,99.01407264957264,113.45425614035088,100.91225621890548,103.1468401084011,157.0538048780488,95.08441452991453,88.59692288557214
16,100.95100175438596,98.9981282051282,100.87525438596491,100.59190547263682,102.83443902439025,124.86996612466125,95.01657264957265,88.24343532338308
17,100.35749999999999,98.82907534246576,100.8017299578059,100.67218594217348,102.69091390548616,123.31925719717545,94.65190496575343,88.52968594217347
18,100.22030319148936,98.6577801724138,113.4751453900709,100.36875879396985,102.19061780821917,152.57142054794522,94.54840086206897,88.147216080402
19,100.59103723404255,98.82273706896552,100.81567730496455,100.0744824120603,101.56509726027397,118.84715479452055,94.7263448275862,89.30671105527638
20,100.31016134751773,98.73315948275862,100.56945212765957,100.31730653266332,102.00174246575342,118.28620958904109,94.40847844827587,89.50488693467337
21,100.2571524822695,98.5802974137931,113.60683510638299,100.21168844221106,101.91508630136987,151.54600273972605,94.64794827586206,89.38179899497487
22,100.10359397163121,98.54918534482758,100.55002659574468,100.12963567839196,101.20194383561643,117.9534904109589,94.46181034482758,89.12151005025126
23,99.75900886524823,98.5139051724138,100.10239007092198,100.04001256281407,100.50931369863014,116.45597808219178,94.3170301724138,89.10149497487437
