hour,6764465,06764465,184b905d,3a4828f5,46362b76,4985a7cf,4d8b845e,578d99bd,6342c79e,668c569c,7c804642,972da8ab,a484c600,a639d055,a9e38583,bb1bcaff,c9900ab9,d35334d1,d8d6d1e0,dda1bb77,fb77ceef
0,267.1490488431877,266.75992,279.6224051724138,317.98315086206895,313.25217672413794,249.40409913793104,288.1608405172414,261.0819797979798,263.12600000000003,270.1620113636364,298.11405603448276,290.6206145833333,267.27108823529414,278.98602586206897,306.20906896551725,314.6221896551724,293.71331565656567,346.11400000000003,293.9495948275862,317.84727155172413,265.0466896551724
1,267.74095876288663,269.2892105263158,279.1186422413793,318.1027413793103,313.05953879310346,247.63611637931035,286.8969094827586,261.1907727272727,263.1429318181818,270.12779545454543,296.17988793103444,290.45532291666666,266.61891711229947,276.64940086206894,304.902625,314.5732887931035,292.85868434343433,345.47105263157897,293.9551681034483,316.98052586206893,265.3584310344828
2,267.4354484536083,268.8879736842105,279.30034913793105,317.45731896551723,312.26894827586204,247.10982327586208,286.32177155172417,260.79335101010105,262.8834090909091,270.1117954545455,295.6683103448276,290.24831770833333,266.45476737967914,276.18565086206894,304.1814094827586,314.2612370689655,292.7066590909091,340.5508289473684,292.89840948275867,317.3289525862069,265.08469396551726
3,266.7451958762887,266.3967105263158,278.6615043103448,317.1576551724138,312.931375,245.52328448275864,285.6124181034483,261.09804292929294,263.1864772727273,269.99526136363636,293.818400862069,290.1543541666667,266.41726470588236,275.83187068965515,304.0172370689655,314.1533318965517,292.60754797979797,340.2182280701755,293.46412931034484,317.31500862068964,265.1246034482758
4,266.94840721649484,267.4122894736842,278.66489224137933,316.00957327586207,310.93993103448275,243.55560344827586,285.13607327586203,260.9900909090909,263.3901363636364,270.2441818181818,294.0426336206897,289.91016666666667,265.8321711229946,275.69493534482757,303.3354310344827,313.77840086206896,292.48881818181815,338.9604605263158,293.5140732758621,317.19827586206895,264.75027155172415
5,266.57684536082473,265.79365789473684,277.6012025862069,313.91736637931035,309.7197629310345,243.68963793103447,285.1282370689655,261.1369621212121,263.4223181818182,270.00272727272727,291.7366724137931,290.0706770833333,266.3259385026738,276.0114698275862,301.427724137931,314.0534784482758,292.4339772727273,337.6421315789474,292.8689310344828,317.31000862068964,264.793875
6,267.46938144329897,268.03507894736845,278.3095560344828,312.2061681034483,309.10200431034485,244.41340086206895,285.15580603448274,261.27319642857145,263.2783636363636,270.109875,289.85810344827587,289.880265625,265.9883903743315,275.67812931034484,302.1719612068965,311.8832629310345,292.39077777777777,335.1400350877193,294.0028362068965,317.2873706896552,264.67270689655174
7,267.22543814432987,271.2587105263158,278.3498405172414,310.25639655172415,309.6389870689655,245.7467543103448,287.9244698275862,260.5175510204082,269.17032954545454,270.5434772727273,285.66877155172415,289.85242708333334,266.3052459893048,275.5474353448276,301.91302586206893,306.5308922413793,292.3022424242424,332.33149561403513,293.3296982758621,318.5090431034483,264.7398017241379
8,267.7304793814433,266.92757894736843,281.5344482758621,311.14006896551723,308.39530172413794,245.8712068965517,293.6083879310345,260.6341812199443,292.24525,270.552125,287.1293448275862,290.086846473029,266.42379365502535,275.58386637931034,303.4958362068965,307.4056120689655,291.86247547169813,337.15087280701755,294.2797887931034,322.3537068965517,264.8170646551724
9,267.6411287839918,267.16902631578944,284.1345598969515,312.2921897810219,309.6926449119794,244.72688278231,296.9778316874195,262.1154377188594,283.0315635545557,270.20059617547804,285.0844182052383,290.73530318602263,266.13390418210696,276.9847788750537,304.6465092314298,308.7386818376986,292.0986868434217,335.94878112712973,295.0328939458995,321.93003434950623,265.0661356805496
