node,vm_id,user_id,project_id,vcpus
6764465,,,,
06764465,,,,
184b905d,,,,
184b905d,cd250600,17de5058,7d4a4a5a,64.0
3a4828f5,,,,
3a4828f5,8e2bfc7b,e4e85d1c,43d3e415,64.0
46362b76,,,,
46362b76,efe7ef34,17de5058,73f33335,64.0
4985a7cf,,,,
4985a7cf,09b00ea6,e4e85d1c,43d3e415,64.0
4d8b845e,,,,
4d8b845e,78b0ef03,17de5058,73f33335,64.0
578d99bd,,,,
578d99bd,d73e8a4b,9ed7c4cb,7d4a4a5a,8.0
578d99bd,c87987bf,9ed7c4cb,7d4a4a5a,8.0
6342c79e,,,,
6342c79e,439c1657,17de5058,7d4a4a5a,64.0
668c569c,,,,
668c569c,251091ea,17de5058,7d4a4a5a,64.0
7c804642,,,,
7c804642,cb521e0f,e4e85d1c,43d3e415,64.0
972da8ab,,,,
972da8ab,8d097b4a,39786247,7d4a4a5a,64.0
a484c600,,,,
a484c600,6ce5df23,9a88f5a0,2d8e3164,16.0
a484c600,f9bd564a,9ed7c4cb,7d4a4a5a,8.0
a484c600,45b99f62,39786247,7d4a4a5a,64.0
a639d055,,,,
a639d055,fe6a63da,17de5058,7d4a4a5a,64.0
a9e38583,,,,
a9e38583,565010d5,17de5058,7d4a4a5a,64.0
bb1bcaff,,,,
bb1bcaff,e97d8cd3,e4e85d1c,43d3e415,64.0
c9900ab9,,,,
c9900ab9,654a92dd,e53598fb,940274ae,16.0
c9900ab9,5486492a,17de5058,7d4a4a5a,8.0
d35334d1,,,,
d35334d1,8a4874ee,e4e85d1c,43d3e415,64.0
d8d6d1e0,,,,
d8d6d1e0,139361ff,39786247,7d4a4a5a,64.0
dda1bb77,,,,
dda1bb77,10089574.0,,,
fb77ceef,,,,
