vm_id,user_id,project_id,image_ref,vcpus,memory_mb,root_gb,ephemeral_gb
6239bcf4,39786247,4ba6ce42,85ecdff4,32.0,60000.0,30.0,160.0
80458243,bd41a7e4,74dfdf00,cb92696e,1.0,2000.0,10.0,20.0
5d9f6237,7190ddfa,906147a9,78c5906a,4.0,7500.0,30.0,60.0
941785dc,1a324c91,f09054da,23658854,2.0,4000.0,10.0,100.0
fb856e0f,c1eb1c1c,f09054da,c015d680,4.0,7500.0,30.0,60.0
2d329ea1,167938a6,6b583f77,3a487497,4.0,7500.0,30.0,60.0
6818d80c,933a1206,70ce18f7,c47411e7,3500.0,30.0,40.0,
46e19c93,933a1206,70ce18f7,c47411e7,3500.0,30.0,40.0,
8e62a0df,933a1206,70ce18f7,a1beddaf,15000.0,30.0,60.0,
5ae95310,933a1206,70ce18f7,c47411e7,3500.0,30.0,40.0,
3256a83b,933a1206,70ce18f7,c47411e7,3500.0,30.0,40.0,
cb410de9,933a1206,70ce18f7,78719760,60000.0,30.0,160.0,
65bba462,933a1206,70ce18f7,a1beddaf,15000.0,30.0,30.0,
a170778b,bd41a7e4,74dfdf00,78719760,60000.0,30.0,30.0,
154203e9,1a324c91,5dc12a18,4e12a9a0,4.0,7500.0,30.0,20.0
fe40bd37,93563d4d,07366210,49f3dbe4,2.0,3500.0,20.0,5.0
b06028a3,a16f591f,f09054da,49f3dbe4,4.0,7500.0,30.0,20.0
fd83f2f5,1970b804,8fffbf63,37012070,2.0,4000.0,10.0,100.0
f758cc76,1970b804,58c10690,2650c16d,2.0,4000.0,10.0,100.0
6556ac93,1970b804,8fffbf63,b5fcc927,16.0,30000.0,30.0,30.0
78254c37,167938a6,8bb913f1,11c2b0cb,4.0,7500.0,30.0,20.0
05d32ce6,59b2c509,70ce18f7,8ad5fe29,7000.0,30.0,40.0,
32d947ff,a16f591f,0c236682,cb8555d2,8.0,14000.0,30.0,100.0
e357b892,f098d7fe,c5e1c75e,e5837001,4.0,7000.0,30.0,40.0
687a510e,1970b804,27d80209,1b9db877,2.0,3500.0,20.0,5.0
2487eb65,1970b804,27d80209,1b9db877,4.0,7500.0,30.0,20.0
f3bee987,1970b804,27d80209,1b9db877,1.0,2000.0,10.0,20.0
3f06cf72,1970b804,27d80209,1b9db877,2.0,4000.0,10.0,100.0
9b0625ff,1a324c91,5dc12a18,471fcf67,4.0,7500.0,30.0,20.0
0045e08e,1a324c91,f09054da,a80a23a6,4.0,7500.0,30.0,20.0
2b5104e2,a16f591f,4ba6ce42,e9021cb9,32.0,60000.0,30.0,30.0
98212a8c,f098d7fe,c5e1c75e,a9db8271,32.0,60000.0,30.0,30.0
b327d1e5,c1eb1c1c,f09054da,a549650b,4.0,7500.0,30.0,20.0
c9afd608,c7fcd779,74dfdf00,4053ea2d,4.0,7500.0,30.0,20.0
ed2f4471,93563d4d,07366210,c47411e7,3500.0,20.0,5.0,
015f6463,1a324c91,5dc12a18,8500c268,4.0,7500.0,30.0,20.0
147abc6a,93563d4d,07366210,781d18f9,2000.0,10.0,20.0,
10cc9124,a16f591f,4ba6ce42,bee10d9d,16.0,30000.0,30.0,30.0
d51b2eb8,1970b804,f3758510,2bcaf5f5,4.0,7500.0,30.0,20.0
a9771654,7190ddfa,906147a9,5ff74bc5,2.0,4000.0,10.0,100.0
1c3d6687,c1eb1c1c,f09054da,a2a278af,8.0,15000.0,30.0,30.0
b1112bbf,7190ddfa,906147a9,4e12a9a0,1.0,2000.0,10.0,20.0
d942e01b,507c94d6,a5abeac5,4e12a9a0,1.0,2000.0,10.0,20.0
6bb1bb72,507c94d6,a5abeac5,a71d74a9,32.0,131072.0,20.0,20.0
5634b76f,a16f591f,4ba6ce42,331a0fde,4.0,7500.0,30.0,20.0
995599ce,39786247,67296c0a,331a0fde,2.0,3500.0,20.0,5.0
